pair_id,delta_A,delta_B,p_breakdown,V_A_initial,V_B_initial,V_A_step_10,V_B_step_10,V_A_step_100,V_B_step_100,V_A_star,V_B_star,abs_err_A_final,abs_err_B_final
40,0.7198329210587188,0.6922652767111995,0.1813277475912027,0.1109331324482239,0.0695797680738192,0.6505170855338713,0.6166306348157410,0.6505264032714888,0.6166400814948176,0.6505264032714888,0.6166400814948176,0.0000000000000000e+00,0.0000000000000000e+00
41,0.9096855341077620,0.9536545841659492,0.0022397755456963,0.1393103276415305,0.8039617118630358,0.3056291117361245,0.7065300090904826,0.3555500117812286,0.6772856978011060,0.3555501047660138,0.6772856433294119,9.2984785149408111e-08,5.4471694155289185e-08
42,0.8461272489610796,0.8770676251880438,0.3117012450239331,0.3648362904106063,0.9228360372484677,0.6111935588368743,0.6440519072292324,0.6112006677827853,0.6440438625658305,0.6112006677827854,0.6440438625658303,1.1102230246251565e-16,1.1102230246251565e-16
43,0.6599359878633797,0.7247443549459776,0.3986668152568069,0.6073329557443440,0.0532772329908122,0.6821669759367698,0.7292878789890840,0.6821669777284852,0.7292878951744864,0.6821669777284853,0.7292878951744864,1.1102230246251565e-16,0.0000000000000000e+00
44,0.9094847046696966,0.8697671892183698,0.2114763480408358,0.3075901144219298,0.1212497564575510,0.6179943898534057,0.5562599294583725,0.6182517648413208,0.5566206227441315,0.6182517648413209,0.5566206227441315,1.1102230246251565e-16,0.0000000000000000e+00
45,0.8962868915984649,0.9781940754365863,0.1553034780049805,0.0655276337648002,0.7019752022074804,0.4603051536204933,0.6492274993555269,0.4639618718797245,0.6487389115346660,0.4639618718797246,0.6487389115346659,5.5511151231257827e-17,1.1102230246251565e-16
46,0.6959896219344838,0.7312707958567058,0.1571007572884813,0.2648087373173338,0.6044739325145255,0.6008868258068187,0.6474810890340681,0.6008996721644094,0.6474827329535336,0.6008996721644094,0.6474827329535336,0.0000000000000000e+00,0.0000000000000000e+00
47,0.6483974898865171,0.8184124261864960,0.0384308528688403,0.4086816508996102,0.3825169989717458,0.4182531227279994,0.7389346823308136,0.4182608686986503,0.7392231229138597,0.4182608686986504,0.7392231229138598,5.5511151231257827e-17,1.1102230246251565e-16
48,0.8375978419079882,0.9509590152294216,0.1064647273456047,0.9922699286723291,0.5392486489403714,0.4190788050123471,0.6894015662676677,0.4128093262915364,0.6910439164039366,0.4128093262915364,0.6910439164039366,5.5511151231257827e-17,0.0000000000000000e+00
49,0.5770811921324687,0.6293638377773632,0.2008531154538525,0.3929869047509387,0.7033385680010588,0.6471517676007315,0.7015512608844305,0.6471518821612521,0.7015512600788321,0.6471518821612521,0.7015512600788321,0.0000000000000000e+00,0.0000000000000000e+00
50,0.6059559371880520,0.9355477985598136,0.1727392004538789,0.0891954187474440,0.5044764618809293,0.3693326779958475,0.8148247612950777,0.3693543213017619,0.8148487386953074,0.3693543213017619,0.8148487386953074,0.0000000000000000e+00,0.0000000000000000e+00
51,0.5135338894804826,0.5568214592510317,0.2180138982972441,0.5811148144739334,0.1401883246356492,0.6842127828245483,0.7252363015086507,0.6842127855792941,0.7252363171409518,0.6842127855792941,0.7252363171409518,0.0000000000000000e+00,0.0000000000000000e+00
52,0.8877237012010264,0.8212551218820703,0.3396262594549627,0.9196400726262897,0.0894360291332902,0.6709992102815108,0.6066366017179565,0.6709965864734753,0.6066420595296994,0.6709965864734753,0.6066420595296994,0.0000000000000000e+00,0.0000000000000000e+00
53,0.8291284111641755,0.8857623144267764,0.0900969210798448,0.7866956988617501,0.4388587351883817,0.4970652862230351,0.6252243103524823,0.4950508806424940,0.6265204996967264,0.4950508806424939,0.6265204996967264,5.5511151231257827e-17,0.0000000000000000e+00
54,0.8484793817406409,0.8050109852411645,0.0110656723625248,0.8362183091872366,0.9228847578488337,0.6180808117625729,0.4924239062217294,0.6141519861857156,0.4846709722985167,0.6141519861857155,0.4846709722985167,1.1102230246251565e-16,5.5511151231257827e-17
55,0.8847499348905445,0.7478567059932206,0.0152901781130963,0.9282317961023304,0.5577791747084938,0.7376820975724609,0.3616462734753934,0.7354031928554030,0.3593005956955866,0.7354031928554028,0.3593005956955866,2.2204460492503131e-16,0.0000000000000000e+00
56,0.7302795722584032,0.8063266079643293,0.0536675221227434,0.6365435033855380,0.3582200690178491,0.5015261900189649,0.6530659287215049,0.5013012904562579,0.6535570561425739,0.5013012904562578,0.6535570561425739,1.1102230246251565e-16,0.0000000000000000e+00
57,0.7829957740573890,0.5827985802141334,0.2281931939217610,0.9949227306534987,0.9087061695210354,0.7555809738542658,0.5433873203055100,0.7555804466601630,0.5433865156237632,0.7555804466601630,0.5433865156237631,0.0000000000000000e+00,1.1102230246251565e-16
58,0.5771025591012756,0.6134739409585048,0.3232739240151699,0.0332815698796508,0.3886321561789381,0.6980190154745378,0.7273954016960775,0.6980190238190235,0.7273954059485912,0.6980190238190236,0.7273954059485912,1.1102230246251565e-16,0.0000000000000000e+00
59,0.5649744352972672,0.6395516850990441,0.3547223757122526,0.8348396761435622,0.5091464809343752,0.6913223674444993,0.7479678101659757,0.6913223665916332,0.7479678115851954,0.6913223665916332,0.7479678115851955,0.0000000000000000e+00,1.1102230246251565e-16
